,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PFD,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,PLUS_MINUS,NEXT_GAME_ID,NEXT_PLUS_MINUS,NEXT_MATCHUP
41800232,42018.0,1610612743.0,DEN,Denver Nuggets,2019-05-01,DEN vs. POR,L,105.22222222222223,39.44444444444444,87.55555555555556,0.4533333333333334,9.555555555555555,27.444444444444443,0.3363333333333334,16.77777777777778,22.555555555555557,0.7360000000000001,11.444444444444445,33.0,44.44444444444444,24.88888888888889,5.555555555555555,4.111111111111111,9.11111111111111,20.11111111111111,109.97777777777777,111.93333333333334,110.0777777777778,110.06666666666666,-0.11111111111111131,1.8666666666666671,0.63,2.861111111111111,18.87777777777778,0.21633333333333335,0.7330000000000001,0.5013333333333334,10.013555555555554,10.166666666666664,0.5095555555555555,0.5435555555555555,1.0,0.19922222222222224,94.93555555555555,94.05555555555556,78.37888888888888,93.88888888888889,0.5075555555555556,0.2594444444444444,0.5096666666666667,0.2753333333333334,0.103,0.26700000000000007,10.777777777777779,15.222222222222221,12.222222222222221,49.111111111111114,8.222222222222221,12.222222222222221,8.555555555555555,46.666666666666664,4.333333333333333,20.22222222222222,0.6835555555555555,0.3164444444444444,0.5763333333333334,0.1012222222222222,0.26466666666666666,0.11299999999999999,0.1591111111111111,0.09944444444444445,0.4752222222222222,0.5582222222222223,0.44177777777777777,0.8563333333333333,0.14366666666666666,0.63,0.36999999999999994,-7.0,41800233,-3.0,DEN @ POR
41800233,42018.0,1610612743.0,DEN,Denver Nuggets,2019-05-03,DEN @ POR,L,108.4,40.9,90.7,0.4534000000000001,10.1,28.9,0.33840000000000003,16.5,22.3,0.7324,12.7,33.9,46.6,25.2,6.1,4.5,10.2,20.8,109.96,111.7,110.15000000000002,110.35,-0.2100000000000002,1.3500000000000003,0.6189,2.7079999999999997,18.57,0.2305,0.7184,0.5019,10.694899999999999,10.829999999999998,0.5103000000000001,0.5428,1.0,0.19920000000000002,94.30499999999999,93.438,77.865,97.0,0.5069000000000001,0.2503,0.5055000000000001,0.27040000000000003,0.1038,0.2816,11.4,15.6,12.3,50.8,10.3,13.5,9.6,47.8,4.4,20.6,0.6799,0.32009999999999994,0.5756,0.09989999999999997,0.271,0.1112,0.1534,0.10190000000000002,0.47590000000000005,0.5486000000000001,0.4514,0.8374,0.1626,0.6189,0.38109999999999994,-3.0,41800234,4.0,DEN @ POR
41800234,42018.0,1610612743.0,DEN,Denver Nuggets,2019-05-05,DEN @ POR,W,109.0909090909091,40.81818181818182,90.81818181818181,0.45172727272727276,10.181818181818182,28.545454545454547,0.3476363636363637,17.272727272727273,22.818181818181817,0.747,13.090909090909092,33.36363636363637,46.45454545454545,24.818181818181817,6.181818181818182,4.454545454545454,10.0,20.90909090909091,110.8,112.76363636363637,110.70909090909093,111.14545454545454,0.07272727272727254,1.6181818181818186,0.6103636363636364,2.652727272727273,18.290909090909093,0.2381818181818182,0.7116363636363636,0.503090909090909,10.656727272727272,10.809090909090907,0.508909090909091,0.5439999999999999,1.0,0.19890909090909092,94.53363636363635,93.48909090909092,77.90727272727273,96.72727272727273,0.5093636363636365,0.2551818181818182,0.5094545454545455,0.27681818181818185,0.10754545454545456,0.2883636363636364,12.0,16.0,12.0,50.18181818181818,10.090909090909092,13.454545454545455,9.818181818181818,47.27272727272727,4.454545454545454,21.181818181818183,0.6842727272727273,0.3157272727272727,0.5687272727272727,0.1018181818181818,0.27218181818181814,0.10818181818181817,0.1590909090909091,0.10672727272727274,0.46709090909090906,0.5363636363636364,0.4636363636363637,0.8356363636363636,0.16436363636363635,0.6103636363636364,0.3896363636363636,4.0,41800235,26.0,DEN vs. POR
41800235,42018.0,1610612743.0,DEN,Denver Nuggets,2019-05-07,DEN vs. POR,W,110.33333333333333,41.083333333333336,90.66666666666667,0.45525,10.0,28.166666666666668,0.34641666666666665,18.166666666666668,23.5,0.7600000000000001,12.833333333333334,34.916666666666664,47.75,24.916666666666668,6.0,4.416666666666667,9.833333333333334,21.0,111.83333333333333,113.80833333333334,109.31666666666668,110.21666666666665,2.4999999999999996,3.5916666666666672,0.60875,2.7025,18.35,0.2364166666666667,0.7148333333333333,0.5091666666666667,10.431083333333332,10.58333333333333,0.5114166666666667,0.5489999999999999,1.0,0.19875,95.19083333333333,93.90666666666668,78.25500000000001,96.91666666666667,0.5255000000000001,0.26291666666666663,0.5018333333333335,0.27925000000000005,0.10341666666666667,0.2851666666666667,12.0,16.5,12.0,51.5,10.583333333333334,13.916666666666666,9.166666666666666,47.0,4.5,21.333333333333332,0.6880833333333333,0.3119166666666667,0.56975,0.09733333333333331,0.26566666666666666,0.10725,0.16466666666666666,0.10591666666666667,0.4725,0.5356666666666667,0.46433333333333343,0.8389166666666666,0.16108333333333333,0.60875,0.39124999999999993,26.0,41800236,-11.0,DEN @ POR
41800236,42018.0,1610612743.0,DEN,Denver Nuggets,2019-05-09,DEN @ POR,L,110.15384615384616,40.46153846153846,90.3076923076923,0.4497692307692308,10.153846153846153,28.46153846153846,0.3486153846153846,19.076923076923077,24.153846153846153,0.7736923076923078,13.076923076923077,34.38461538461539,47.46153846153846,24.692307692307693,6.076923076923077,4.3076923076923075,9.538461538461538,21.153846153846153,112.35384615384615,114.08461538461539,110.04615384615386,111.58461538461538,2.292307692307692,2.5000000000000004,0.6132307692307692,2.7361538461538464,18.24615384615385,0.241,0.7029230769230769,0.504,10.219923076923076,10.35384615384615,0.506923076923077,0.5483076923076923,1.0,0.199,95.22538461538463,93.79846153846155,78.16461538461539,96.53846153846153,0.5221538461538462,0.2713076923076923,0.5051538461538463,0.28369230769230774,0.1023846153846154,0.29707692307692307,11.76923076923077,16.53846153846154,11.615384615384615,50.0,10.076923076923077,13.76923076923077,9.23076923076923,46.61538461538461,4.538461538461538,21.23076923076923,0.6834615384615385,0.31653846153846155,0.5558461538461539,0.09699999999999998,0.27084615384615385,0.104,0.1733846153846154,0.10415384615384617,0.45892307692307693,0.5420769230769231,0.457923076923077,0.832076923076923,0.1679230769230769,0.6132307692307692,0.38676923076923075,-11.0,41800237,-4.0,DEN vs. POR
41800237,42018.0,1610612743.0,DEN,Denver Nuggets,2019-05-12,DEN vs. POR,L,109.14285714285714,39.92857142857143,90.21428571428571,0.4441428571428571,9.571428571428571,27.785714285714285,0.33121428571428574,19.714285714285715,25.214285714285715,0.7697142857142858,13.071428571428571,34.642857142857146,47.714285714285715,24.0,5.714285714285714,4.642857142857143,9.214285714285714,21.285714285714285,111.3142857142857,113.22857142857143,109.65714285714286,111.13571428571427,1.6428571428571426,2.1000000000000005,0.6019285714285714,2.755,17.792857142857144,0.2387857142857143,0.7044285714285714,0.5031428571428571,9.853785714285712,9.992857142857142,0.49800000000000005,0.5414285714285714,1.0,0.19892857142857143,95.34214285714286,93.84857142857143,78.20642857142857,96.35714285714286,0.5172857142857143,0.28321428571428575,0.49978571428571433,0.2818571428571429,0.09807142857142859,0.29557142857142854,11.428571428571429,16.5,11.0,50.57142857142857,9.928571428571429,14.285714285714286,9.071428571428571,46.714285714285715,4.714285714285714,21.928571428571427,0.690857142857143,0.30914285714285716,0.5622857142857143,0.09307142857142855,0.256,0.09878571428571427,0.18185714285714286,0.10192857142857144,0.4692857142857143,0.5332857142857143,0.46671428571428575,0.8440714285714286,0.15592857142857142,0.6019285714285714,0.3980714285714285,-4.0,0,100.0,last_game
41800101,42018.0,1610612765.0,DET,Detroit Pistons,2019-04-14,DET @ MIL,L,86.0,35.0,92.0,0.38,8.0,27.0,0.29600000000000004,8.0,13.0,0.615,7.0,39.0,46.0,22.0,7.0,2.0,13.0,21.0,82.9,82.7,117.0,117.5,-34.1,-34.8,0.629,1.69,16.6,0.119,0.82,0.477,12.534,12.5,0.424,0.44,1.0,0.201,103.58,103.5,86.25,104.0,0.32,0.141,0.5720000000000001,0.289,0.097,0.18,19.0,10.0,11.0,38.0,14.0,7.0,22.0,52.0,8.0,16.0,0.7070000000000001,0.293,0.628,0.18600000000000005,0.279,0.128,0.093,0.221,0.442,0.519,0.481,1.0,0.0,0.629,0.371,-35.0,41800102,-21.0,DET @ MIL
41800102,42018.0,1610612765.0,DET,Detroit Pistons,2019-04-17,DET @ MIL,L,92.5,36.0,95.5,0.377,10.0,31.5,0.3145,10.5,15.0,0.69,9.0,35.5,44.5,22.5,6.0,4.5,10.5,21.0,88.85,90.85,116.05,118.15,-27.25,-27.299999999999997,0.6255,2.125,16.6,0.1455,0.7825,0.47250000000000003,10.574,10.75,0.429,0.4525,1.0,0.2,103.97,102.0,85.0,102.0,0.3385,0.15649999999999997,0.5775,0.261,0.111,0.2175,18.0,12.0,10.5,38.0,13.0,8.5,25.0,56.0,9.5,18.5,0.6715,0.3285,0.5665,0.15350000000000003,0.3215,0.1145,0.112,0.1965,0.41300000000000003,0.5195000000000001,0.4805,0.9165,0.08349999999999999,0.6255,0.3745,-21.0,41800103,-16.0,DET vs. MIL
41800103,42018.0,1610612765.0,DET,Detroit Pistons,2019-04-20,DET vs. MIL,L,96.0,36.333333333333336,95.66666666666667,0.37966666666666665,10.333333333333334,33.0,0.3116666666666667,13.0,18.0,0.71,11.0,33.333333333333336,44.333333333333336,22.0,7.0,5.0,10.0,22.0,93.36666666666667,95.59999999999998,117.2,119.23333333333335,-23.866666666666664,-23.63333333333333,0.6063333333333333,2.1933333333333334,16.2,0.17766666666666664,0.739,0.4663333333333333,10.032666666666666,10.233333333333333,0.43366666666666664,0.4626666666666666,1.0,0.19966666666666666,102.66666666666667,100.66666666666667,83.89,100.66666666666667,0.36000000000000004,0.18766666666666665,0.5750000000000001,0.267,0.12766666666666668,0.26099999999999995,16.666666666666668,12.333333333333334,9.333333333333334,39.333333333333336,13.333333333333334,11.666666666666666,20.333333333333332,52.666666666666664,8.333333333333334,19.666666666666668,0.656,0.34400000000000003,0.5459999999999999,0.13466666666666668,0.321,0.09900000000000002,0.133,0.17633333333333334,0.41133333333333333,0.5003333333333334,0.49966666666666665,0.8836666666666666,0.11633333333333333,0.6063333333333333,0.39366666666666666,-16.0,41800104,-23.0,DET vs. MIL
41800104,42018.0,1610612765.0,DET,Detroit Pistons,2019-04-22,DET vs. MIL,L,98.0,37.5,96.75,0.38725,11.0,33.25,0.32925000000000004,12.0,16.5,0.72,10.75,31.5,42.25,23.0,7.25,4.0,10.0,24.25,94.5,96.94999999999999,117.85000000000001,120.55000000000001,-23.375,-23.599999999999998,0.61325,2.235,16.725,0.17424999999999996,0.7230000000000001,0.45125000000000004,10.112,10.35,0.44399999999999995,0.4705,1.0,0.19874999999999998,103.53999999999999,101.125,84.27250000000001,101.25,0.35475,0.17074999999999999,0.58325,0.33,0.1405,0.27699999999999997,17.75,12.5,10.75,40.0,13.25,11.5,19.75,55.0,8.75,20.0,0.657,0.343,0.5439999999999999,0.13475,0.3345,0.11025000000000001,0.1215,0.18275000000000002,0.4095,0.5002500000000001,0.49974999999999997,0.8935,0.1065,0.61325,0.38675000000000004,-23.0,0,100.0,last_game
41800141,42018.0,1610612744.0,GSW,Golden State Warriors,2019-04-13,GSW vs. LAC,W,121.0,45.0,92.0,0.489,14.0,30.0,0.467,17.0,20.0,0.85,12.0,42.0,54.0,31.0,9.0,14.0,21.0,22.0,110.2,110.0,89.9,95.4,20.3,14.6,0.6890000000000001,1.48,20.3,0.245,0.759,0.542,19.126,19.1,0.565,0.6,1.0,0.199,112.74,109.5,91.25,110.0,0.618,0.217,0.458,0.232,0.156,0.241,22.0,11.0,16.0,42.0,15.0,10.0,20.0,40.0,7.0,22.0,0.674,0.326,0.512,0.165,0.34700000000000003,0.132,0.14,0.182,0.34700000000000003,0.677,0.32299999999999995,0.7140000000000001,0.28600000000000003,0.6890000000000001,0.311,17.0,41800142,-4.0,GSW vs. LAC
41800142,42018.0,1610612744.0,GSW,Golden State Warriors,2019-04-15,GSW vs. LAC,L,126.0,42.5,83.5,0.5109999999999999,12.5,29.0,0.43,28.5,32.5,0.8694999999999999,9.5,36.5,46.0,31.0,10.0,10.0,21.5,26.5,114.75,115.1,105.95,110.2,8.8,4.9,0.732,1.4449999999999998,20.65,0.2145,0.7484999999999999,0.54,19.581000000000003,19.65,0.586,0.6455,1.0,0.2005,111.47999999999999,109.0,90.83500000000001,109.5,0.5589999999999999,0.4085,0.5525,0.2985,0.16849999999999998,0.2515,19.5,11.5,24.0,42.0,24.5,12.0,19.0,45.0,4.0,27.5,0.6505000000000001,0.34950000000000003,0.47750000000000004,0.14350000000000002,0.2995,0.188,0.2225,0.156,0.334,0.735,0.26499999999999996,0.7205,0.2795,0.732,0.268,-4.0,41800143,27.0,GSW @ LAC
41800143,42018.0,1610612744.0,GSW,Golden State Warriors,2019-04-18,GSW @ LAC,W,128.0,45.333333333333336,86.66666666666667,0.5233333333333333,13.333333333333334,31.0,0.42966666666666664,24.0,27.666666666666668,0.8573333333333334,9.666666666666666,37.666666666666664,47.333333333333336,32.333333333333336,8.0,10.333333333333334,18.333333333333332,27.0,119.26666666666667,119.86666666666667,103.66666666666667,108.13333333333333,15.6,11.766666666666666,0.7166666666666667,1.9366666666666665,21.666666666666668,0.22066666666666668,0.723,0.5343333333333334,16.94066666666667,17.03333333333333,0.6003333333333333,0.6483333333333333,1.0,0.19966666666666666,109.13333333333333,106.5,88.75,107.0,0.5983333333333333,0.33699999999999997,0.505,0.31966666666666665,0.15333333333333332,0.27699999999999997,19.666666666666668,13.0,21.333333333333332,42.0,21.333333333333332,15.666666666666666,16.333333333333332,47.333333333333336,3.3333333333333335,26.666666666666668,0.6416666666666667,0.3583333333333334,0.5,0.17133333333333334,0.3133333333333333,0.16566666666666666,0.18633333333333335,0.15466666666666665,0.32866666666666666,0.703,0.297,0.747,0.25300000000000006,0.7166666666666667,0.2833333333333334,27.0,41800144,8.0,GSW @ LAC
41800144,42018.0,1610612744.0,GSW,Golden State Warriors,2019-04-21,GSW @ LAC,W,124.25,44.5,87.25,0.5105,13.0,31.0,0.419,22.25,25.5,0.86675,10.0,37.75,47.75,31.0,7.25,8.25,17.0,27.0,117.875,118.72500000000001,103.975,107.875,13.899999999999999,10.875,0.69825,1.9725,21.175,0.22275,0.74125,0.53725,15.976500000000001,16.099999999999998,0.585,0.63125,1.0,0.1995,106.78,104.375,86.98,104.75,0.58575,0.306,0.50525,0.33975,0.13999999999999999,0.25875,17.5,14.5,19.25,42.0,20.5,13.75,17.5,44.5,3.5,25.25,0.6442500000000001,0.35575,0.50775,0.16825,0.31475,0.153,0.17725000000000002,0.14024999999999999,0.3395,0.6855,0.3145,0.7270000000000001,0.273,0.69825,0.30175,8.0,41800145,-8.0,GSW vs. LAC
41800145,42018.0,1610612744.0,GSW,Golden State Warriors,2019-04-24,GSW vs. LAC,L,123.6,44.2,89.0,0.49799999999999994,13.4,32.6,0.4122,21.8,24.8,0.8752000000000001,11.0,35.0,46.0,31.0,7.2,7.2,15.2,26.2,118.82000000000001,119.92,108.62,112.62,10.2,7.32,0.7028000000000001,2.354,21.22,0.23479999999999998,0.718,0.518,14.402600000000001,14.52,0.5731999999999999,0.6194,1.0,0.199,105.436,103.0,85.834,103.2,0.562,0.2906,0.5277999999999999,0.333,0.1396,0.282,17.4,13.6,19.4,41.2,19.0,13.8,16.8,46.4,3.0,24.8,0.6342000000000001,0.3658,0.4988,0.16440000000000002,0.3262,0.1554,0.1748,0.1402,0.33440000000000003,0.6842,0.31579999999999997,0.7416,0.2584,0.7028000000000001,0.2972,-8.0,41800146,19.0,GSW @ LAC
41800146,42018.0,1610612744.0,GSW,Golden State Warriors,2019-04-26,GSW @ LAC,W,124.5,44.666666666666664,89.0,0.503,12.833333333333334,32.166666666666664,0.399,22.333333333333332,25.833333333333332,0.8636666666666667,10.333333333333334,35.666666666666664,46.0,31.166666666666668,7.0,7.5,14.333333333333334,25.833333333333332,119.36666666666667,120.60000000000001,107.60000000000001,111.64999999999999,11.766666666666666,8.966666666666667,0.6991666666666667,2.4949999999999997,21.366666666666664,0.22166666666666665,0.7076666666666666,0.5103333333333333,13.579833333333333,13.699999999999998,0.575,0.6208333333333333,1.0,0.19866666666666669,105.61000000000001,103.08333333333333,85.90333333333335,103.33333333333333,0.5728333333333334,0.3001666666666667,0.5153333333333333,0.32616666666666666,0.13966666666666666,0.29233333333333333,18.333333333333332,13.0,18.0,44.666666666666664,17.333333333333332,14.0,16.833333333333332,45.666666666666664,3.3333333333333335,25.0,0.639,0.36100000000000004,0.5113333333333333,0.1525,0.3106666666666667,0.14366666666666666,0.17800000000000002,0.1465,0.35883333333333334,0.6873333333333335,0.31266666666666665,0.718,0.28200000000000003,0.6991666666666667,0.30083333333333334,19.0,41800221,4.0,GSW vs. HOU
